1,"Antonio","Santos","Cardiology",12345,"antonio.santos@medph.com","St. Luke's Medical Center, Quezon City"
2,"Maria","Reyes","Pediatrics",23456,"maria.reyes@childcareph.com","The Medical City, Pasig"
3,"Jose","Ramos","Dermatology",34567,"jose.ramos@skincareph.com","Makati Medical Center, Makati"
4,"Ana","Garcia","Neurology",45678,"ana.garcia@neuroph.com","Cardinal Santos Hospital, San Juan"
5,"Carlo","Lim","Orthopedics",56789,"carlo.lim@orthohealth.com","Asian Hospital and Medical Center, Alabang"
6,"Liza","Mendoza","Internal Medicine",67890,"liza.mendoza@medcenter.com","Perpetual Help Medical Center, Las Piñas"
7,"Mark","De Guzman","Ophthalmology",78901,"mark.deguzman@visioncare.com","Manila Doctors Hospital, Manila"
8,"Patricia","Lopez","Obstetrics",89012,"patricia.lopez@womenhealth.com","UERM Medical Center, Sta. Mesa"
9,"David","Chua","ENT",90123,"david.chua@earnoseph.com","Chinese General Hospital, Manila"
10,"Sophia","Del Rosario","Psychiatry",10123,"sophia.delrosario@mindhealth.com","National Center for Mental Health, Mandaluyong"
