1,Juan,Dela Cruz,1990-05-12,Male,912345678,Batangas City,juan.delacruz@example.com
2,Maria,Santos,1988-09-23,Female,923456789,Quezon City,maria.santos@example.com
3,Jose,Reyes,1975-02-10,Male,934567890,Cebu City,jose.reyes@example.com
4,Ana,Ramos,1995-11-30,Female,945678901,Davao City,ana.ramos@example.com
5,Carlos,Garcia,1982-03-15,Male,956789012,Pasig City,carlos.garcia@example.com
6,Liza,Torres,2000-07-08,Female,967890123,Iloilo City,liza.torres@example.com
7,Mark,Lim,1998-04-25,Male,978901234,Makati City,mark.lim@example.com
8,Patricia,Mendoza,1993-06-18,Female,989012345,Taguig City,patricia.mendoza@example.com
9,Andrew,Lopez,1987-12-01,Male,990123456,Manila,andrew.lopez@example.com
10,Sophia,De Guzman,1999-10-05,Female,901234567,Cavite,sophia.deguzman@example.com
